age,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default,balance,housing,loan,contact_cellular,contact_telephone,contact_unknown,day,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,duration,campaign,pdays,previous,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,y
30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1787,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,79,1,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4789,1,1,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,220,1,339,4,1,0,0,0,0
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1350,1,0,1,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,185,1,330,1,1,0,0,0,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1476,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,199,4,-1,0,0,0,0,1,0
59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,226,1,-1,0,0,0,0,1,0
35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,747,0,0,1,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,141,2,176,3,1,0,0,0,0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,307,1,0,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,341,1,330,2,0,1,0,0,0
39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,147,1,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,151,2,-1,0,0,0,0,1,0
41,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,221,1,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,57,2,-1,0,0,0,0,1,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-88,1,1,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,313,1,147,2,1,0,0,0,0
