V1_0,V1_1,V1_2,V1_3,V2,V3_0,V3_1,V3_2,V3_3,V3_4,V4_0,V4_1,V4_2,V4_3,V4_4,V4_5,V4_6,V4_7,V4_8,V4_9,V5,V6_0,V6_1,V6_2,V6_3,V6_4,V7_0,V7_1,V7_2,V7_3,V7_4,V8,V9_0,V9_1,V9_2,V9_3,V10_0,V10_1,V10_2,V11,V12_0,V12_1,V12_2,V12_3,V13,V14_0,V14_1,V14_2,V15_0,V15_1,V15_2,V16,V17_0,V17_1,V17_2,V17_3,V18,V19,V20
0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1169,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,1,4,0,0,1,0,67,0,1,0,0,1,0,2,0,0,0,1,1,1,1
1,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5951,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,1,0,22,0,1,0,0,1,0,1,0,0,0,1,1,0,1
0,0,0,1,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2096,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,3,0,0,1,0,49,0,1,0,0,1,0,1,0,0,1,0,2,0,1
0,1,0,0,42,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7882,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,4,1,0,0,0,45,0,1,0,1,0,0,1,0,0,0,1,2,0,1
0,1,0,0,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4870,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,4,0,1,0,0,53,0,1,0,1,0,0,2,0,0,0,1,2,0,1
0,0,0,1,36,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9055,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,4,0,1,0,0,35,0,1,0,1,0,0,1,0,0,1,0,2,1,1
0,0,0,1,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2835,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,4,1,0,0,0,53,0,1,0,0,1,0,1,0,0,0,1,1,0,1
1,0,0,0,36,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6948,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,35,0,1,0,0,0,1,1,1,0,0,0,1,1,1
0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3059,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,4,0,0,1,0,61,0,1,0,0,1,0,1,0,0,1,0,1,0,1
1,0,0,0,30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5234,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,2,0,0,0,1,28,0,1,0,0,1,0,2,1,0,0,0,1,0,1
1,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1295,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,25,0,1,0,0,0,1,1,0,0,0,1,1,0,1
0,1,0,0,48,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4308,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,4,1,0,0,0,24,0,1,0,0,0,1,1,0,0,0,1,1,0,1
1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1567,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,22,0,1,0,0,1,0,1,0,0,0,1,1,1,1
0,1,0,0,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1199,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,4,0,0,0,1,60,0,1,0,0,1,0,2,0,0,1,0,1,0,1
0,1,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1403,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,4,0,0,0,1,28,0,1,0,0,0,1,1,0,0,0,1,1,0,1
0,1,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1282,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,0,1,32,0,1,0,0,1,0,1,0,0,1,0,1,0,1
0,0,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2424,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,1,4,1,0,0,0,53,0,1,0,0,1,0,2,0,0,0,1,1,0,1
0,1,0,0,30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8072,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,3,0,0,0,1,25,1,0,0,0,1,0,3,0,0,0,1,1,0,1
1,0,0,0,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12579,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,2,0,1,0,0,44,0,1,0,1,0,0,1,1,0,0,0,1,1,1
0,0,0,1,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3430,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,2,0,0,0,1,31,0,1,0,0,1,0,1,0,0,0,1,2,1,1
0,0,0,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2134,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,1,4,0,0,0,1,48,0,1,0,0,1,0,3,0,0,0,1,1,1,1
0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2647,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,3,0,0,1,0,44,0,1,0,0,0,1,1,0,0,0,1,2,0,1
0,1,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2241,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,0,0,1,0,48,0,1,0,0,0,1,2,0,0,1,0,2,0,0
1,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1804,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,4,1,0,0,0,44,0,1,0,0,1,0,1,0,0,0,1,1,0,1
0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2069,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,1,26,0,1,0,0,1,0,2,0,0,0,1,1,0,0
0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1374,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,36,1,0,0,0,1,0,1,0,0,1,0,1,1,1
0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,426,0,0,1,0,0,0,0,0,1,0,4,0,0,1,0,0,0,1,4,0,0,0,1,39,0,1,0,0,1,0,1,0,0,1,0,1,0,1
0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,409,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,3,0,0,1,0,42,0,1,0,0,0,1,2,0,0,0,1,1,0,1
1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2415,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,1,0,34,0,1,0,0,1,0,1,0,0,0,1,1,0,1
0,1,0,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6836,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,4,0,1,0,0,63,0,1,0,0,1,0,2,0,0,0,1,1,1,1
1,0,0,0,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1913,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,1,3,0,0,1,0,36,1,0,0,0,1,0,1,0,0,0,1,1,1,1
0,1,0,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4020,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,27,0,0,1,0,1,0,1,0,0,0,1,1,0,1
1,0,0,0,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5866,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,30,0,1,0,0,1,0,2,0,0,0,1,1,1,1
0,0,0,1,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1264,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,1,4,0,1,0,0,57,0,1,0,0,0,1,1,0,0,1,0,1,0,1
0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1474,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,1,1,0,0,0,33,1,0,0,0,1,0,1,1,0,0,0,1,1,1
1,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4746,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,2,1,0,0,0,25,0,1,0,0,1,0,2,0,0,1,0,1,0,1
0,0,0,1,48,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6110,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,1,0,0,31,1,0,0,1,0,0,1,0,0,0,1,1,1,1
0,0,1,0,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2100,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,2,0,0,1,0,37,0,0,1,0,1,0,1,0,0,0,1,1,0,1
0,0,1,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1225,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,37,0,1,0,0,1,0,1,0,0,0,1,1,1,1
1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,458,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,1,3,0,0,1,0,24,0,1,0,0,1,0,1,0,0,0,1,1,0,1
0,0,0,1,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2333,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,2,0,0,0,1,30,1,0,0,0,1,0,1,1,0,0,0,1,0,1
1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1158,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,1,26,0,1,0,0,1,0,1,0,0,0,1,1,1,1
1,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6204,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,4,0,0,1,0,44,0,1,0,0,1,0,1,0,0,1,0,2,1,1
0,1,0,0,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6187,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,1,24,0,1,0,0,0,1,2,0,0,0,1,1,0,1
0,1,0,0,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6143,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,4,0,1,0,0,58,0,0,1,1,0,0,2,0,0,1,0,1,0,1
