Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,12794,2,0,1480000.0,1,23,736301,2.5,53,2.0,1.0,1.0,202.0,79.0,1900.0,32,-37.7996,144.9984,2,4019.0
0,5943,2,0,1035000.0,1,23,735998,2.5,53,2.0,1.0,0.0,156.0,79.0,1900.0,32,-37.8079,144.9934,2,4019.0
0,9814,3,0,1465000.0,3,23,736392,2.5,53,3.0,2.0,0.0,134.0,150.0,1900.0,32,-37.8093,144.9944,2,4019.0
0,9004,3,0,850000.0,0,23,736392,2.5,53,3.0,2.0,1.0,94.0,146.0,1957.0,32,-37.7969,144.9969,2,4019.0
0,10589,4,0,1600000.0,4,155,736119,2.5,53,3.0,1.0,2.0,120.0,142.0,2014.0,32,-37.8072,144.9941,2,4019.0
0,2195,2,0,941000.0,1,106,736091,2.5,53,2.0,1.0,0.0,181.0,176.0,1962.0,32,-37.8041,144.9953,2,4019.0
0,2142,3,0,1876000.0,1,155,736091,2.5,53,4.0,2.0,0.0,245.0,210.0,1910.0,32,-37.8024,144.9993,2,4019.0
0,13335,2,0,1636000.0,1,155,736245,2.5,53,2.0,1.0,2.0,256.0,107.0,1890.0,32,-37.806,144.9954,2,4019.0
0,11082,1,2,300000.0,1,23,736245,2.5,53,1.0,1.0,1.0,0.0,91.0,1895.0,32,-37.8008,144.9973,2,4019.0
0,1090,2,0,1097000.0,1,23,736245,2.5,53,3.0,1.0,2.0,220.0,75.0,1900.0,32,-37.801,144.9989,2,4019.0
0,9174,2,2,700000.0,4,106,736280,2.5,53,2.0,2.0,1.0,0.0,132.5,1952.5,32,-37.811,145.0067,2,4019.0
0,9029,3,0,1350000.0,4,155,736280,2.5,53,3.0,2.0,2.0,214.0,190.0,2005.0,32,-37.8085,144.9964,2,4019.0
0,2125,2,2,750000.0,1,23,736280,2.5,53,2.0,2.0,1.0,0.0,94.0,2009.0,32,-37.8078,144.9965,2,4019.0
0,9482,2,0,1172500.0,1,23,736189,2.5,53,2.0,1.0,1.0,195.0,95.0,1969.3333333333333,32,-37.8084,144.9973,2,4019.0
0,11881,1,2,441000.0,3,85,736098,2.5,53,1.0,1.0,1.0,0.0,96.0,1929.6666666666667,32,-37.8016,144.9988,2,4019.0
0,3286,2,0,1310000.0,1,106,736252,2.5,53,2.0,1.0,2.0,238.0,97.0,1890.0,32,-37.809,144.9976,2,4019.0
0,9211,3,0,1200000.0,1,106,736161,2.5,53,3.0,2.0,1.0,113.0,110.0,1880.0,32,-37.8056,144.993,2,4019.0
0,12273,3,0,1176500.0,1,117,736161,2.5,53,2.0,1.0,1.0,138.0,105.0,1890.0,32,-37.8021,144.9965,2,4019.0
0,4017,3,0,955000.0,1,49,736224,2.5,53,3.0,1.0,0.0,183.0,89.0,1937.5,32,-37.8022,144.9975,2,4019.0
0,9250,2,0,890000.0,1,23,736224,2.5,53,2.0,1.0,1.0,150.0,73.0,1985.0,32,-37.8011,145.0004,2,4019.0
0,7273,4,0,1330000.0,0,111,736406,2.5,53,4.0,2.0,2.0,780.0,135.0,1900.0,32,-37.8073,144.9952,2,4019.0
0,2403,3,1,900000.0,1,19,736406,2.5,53,3.0,2.0,2.0,0.0,81.0,2010.0,32,-37.8093,144.9959,2,4019.0
0,2530,3,2,1090000.0,1,106,736406,2.5,53,3.0,2.0,2.0,4290.0,27.0,1990.0,32,-37.8078,144.9965,2,4019.0
0,11073,2,2,500000.0,1,49,736133,2.5,53,2.0,1.0,1.0,0.0,60.0,1970.0,32,-37.8015,144.9972,2,4019.0
0,10411,2,0,1100000.0,0,23,736133,2.5,53,2.0,2.0,1.0,124.0,135.0,2013.0,32,-37.8079,144.9977,2,4019.0
0,9728,2,0,1315000.0,1,135,736287,2.5,53,2.0,1.0,0.0,147.0,85.0,1900.0,32,-37.808,144.994,2,4019.0
0,10064,1,2,426000.0,3,85,736198,2.5,53,1.0,1.0,1.0,0.0,129.5,1956.0,32,-37.8016,144.9988,2,4019.0
0,9621,3,0,1447500.0,0,155,736198,2.5,53,3.0,3.0,1.0,166.0,174.0,2012.0,32,-37.8017,145.0001,2,4019.0
0,1791,1,2,457000.0,1,106,736198,2.5,53,1.0,1.0,1.0,0.0,50.0,1966.0,32,-37.8078,144.9965,2,4019.0
0,3125,2,0,1135000.0,1,155,736198,2.5,53,2.0,2.0,2.0,98.0,128.0,1920.0,32,-37.8005,144.9952,2,4019.0
0,7564,4,0,1542000.0,1,49,736231,2.5,53,4.0,3.0,1.0,0.0,73.0,1930.0,32,-37.7994,144.9965,2,4019.0
0,3364,3,0,1290000.0,1,23,736385,2.5,53,3.0,2.0,2.0,147.0,18.0,1940.0,32,-37.805,144.9943,2,4019.0
0,11237,3,0,1290000.0,1,23,736385,2.5,53,3.0,1.0,1.0,168.0,124.0,1950.0,32,-37.8007,144.9958,2,4019.0
0,1633,1,2,470000.0,1,155,736171,2.5,53,1.0,1.0,1.0,0.0,50.0,2013.0,32,-37.8055,144.9961,2,4019.0
0,9594,2,0,1180000.0,1,106,736295,2.5,53,2.0,1.0,0.0,162.0,91.0,1900.0,32,-37.8016,144.9956,2,4019.0
0,9484,3,0,1195000.0,3,106,736295,2.5,53,3.0,2.0,1.0,120.0,128.0,1998.0,32,-37.8022,144.9954,2,4019.0
0,5127,2,0,1012500.0,1,155,736112,2.5,53,2.0,1.0,0.0,182.0,82.0,1900.0,32,-37.8021,144.9976,2,4019.0
0,6240,2,0,1030000.0,1,23,736175,2.5,53,2.0,1.0,1.0,172.0,81.0,1930.0,32,-37.8086,144.9946,2,4019.0
2,3092,3,1,840000.0,0,155,736210,13.5,32,3.0,2.0,1.0,303.0,225.0,2016.0,21,-37.718,144.878,6,3464.0
