Rooms,Propertycount,Price,Method_PI,Method_S,Method_SA,Method_SP,Method_VB,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea_Banyule,CouncilArea_Bayside,CouncilArea_Boroondara,CouncilArea_Brimbank,CouncilArea_Cardinia,CouncilArea_Casey,CouncilArea_Darebin,CouncilArea_Frankston,CouncilArea_Glen Eira,CouncilArea_Greater Dandenong,CouncilArea_Hobsons Bay,CouncilArea_Hume,CouncilArea_Kingston,CouncilArea_Knox,CouncilArea_Macedon Ranges,CouncilArea_Manningham,CouncilArea_Maribyrnong,CouncilArea_Maroondah,CouncilArea_Melbourne,CouncilArea_Melton,CouncilArea_Monash,CouncilArea_Moonee Valley,CouncilArea_Moorabool,CouncilArea_Moreland,CouncilArea_Nillumbik,CouncilArea_Port Phillip,CouncilArea_Stonnington,CouncilArea_Unavailable,CouncilArea_Whitehorse,CouncilArea_Whittlesea,CouncilArea_Wyndham,CouncilArea_Yarra,CouncilArea_Yarra Ranges,CouncilArea_nan,Lattitude,Longtitude,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Type
2,4019.0,1480000.0,0,1,0,0,0,736301,2.5,3067,2.0,1.0,1.0,202.0,79.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.7996,144.9984,0,0,1,0,0,0,0,0,0
2,4019.0,1035000.0,0,1,0,0,0,735998,2.5,3067,2.0,1.0,0.0,156.0,79.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8079,144.9934,0,0,1,0,0,0,0,0,0
3,4019.0,1465000.0,0,0,0,1,0,736392,2.5,3067,3.0,2.0,0.0,134.0,150.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8093,144.9944,0,0,1,0,0,0,0,0,0
3,4019.0,850000.0,1,0,0,0,0,736392,2.5,3067,3.0,2.0,1.0,94.0,146.0,1957.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.7969,144.9969,0,0,1,0,0,0,0,0,0
4,4019.0,1600000.0,0,0,0,0,1,736119,2.5,3067,3.0,1.0,2.0,120.0,142.0,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8072,144.9941,0,0,1,0,0,0,0,0,0
2,4019.0,941000.0,0,1,0,0,0,736091,2.5,3067,2.0,1.0,0.0,181.0,176.0,1962.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8041,144.9953,0,0,1,0,0,0,0,0,0
3,4019.0,1876000.0,0,1,0,0,0,736091,2.5,3067,4.0,2.0,0.0,245.0,210.0,1910.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8024,144.9993,0,0,1,0,0,0,0,0,0
2,4019.0,1636000.0,0,1,0,0,0,736245,2.5,3067,2.0,1.0,2.0,256.0,107.0,1890.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.806,144.9954,0,0,1,0,0,0,0,0,0
2,4019.0,1097000.0,0,1,0,0,0,736245,2.5,3067,3.0,1.0,2.0,220.0,75.0,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.801,144.9989,0,0,1,0,0,0,0,0,0
3,4019.0,1350000.0,0,0,0,0,1,736280,2.5,3067,3.0,2.0,2.0,214.0,190.0,2005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-37.8085,144.9964,0,0,1,0,0,0,0,0,0
